City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Laguna,US,38.421,-121.4238,66.38,77,0,4.61,clear sky
331,Padang,ID,-0.9492,100.3543,84.25,77,95,4.79,light rain
332,Ilulissat,GL,69.2167,-51.1,32.72,98,100,10.49,light snow
333,Waddan,LY,29.1614,16.139,87.1,18,4,4.25,clear sky
334,De-Kastri,RU,51.4667,140.7833,55.81,47,7,8.75,clear sky
335,Barcelos,PT,41.5388,-8.6151,71.85,73,1,1.57,clear sky
336,Nautla,MX,20.2167,-96.7833,74.1,90,90,6.78,overcast clouds
337,Chaman,PK,30.9236,66.4512,83.73,12,0,7.65,clear sky
338,Port Shepstone,ZA,-30.7414,30.455,61.63,72,97,4.79,light rain
339,Orlik,RU,52.5178,99.825,47.71,39,38,20.74,scattered clouds
340,Severo-Kurilsk,RU,50.6789,156.125,51.89,66,69,13.94,broken clouds
341,Zhigansk,RU,66.7697,123.3711,35.87,65,99,18.45,overcast clouds
342,Belawan,ID,3.7755,98.6832,88.09,67,45,5.12,scattered clouds
343,Kashary,RU,49.04,41.0056,61.09,75,100,7.74,overcast clouds
344,Medicine Hat,CA,50.0501,-110.6683,41.22,79,0,2.3,clear sky
345,Alekseyevka,RU,50.6309,38.6903,55.71,78,100,6.55,overcast clouds
